"Klarna Checkout has failed to load. Please <a href=""javascript:;"" onclick=""location.reload(true)"">reload checkout.</a>","Klarna Checkout has failed to load. Please <a href=""javascript:;"" onclick=""location.reload(true)"">reload checkout.</a>"
"Checkout ID","Checkout ID"
Reservation,Reservation
Reference,Reference
"Invoice ID (#%1)","Invoice ID (#%1)"
"Bad request","Bad request"
Nope,Nope
"Order total does not match for order #%1. Klarna total is %2 vs Magento total %3","Order total does not match for order #%1. Klarna total is %2 vs Magento total %3"
"How did you get here?","How did you get here?"
"Unable to process order. Please try again","Unable to process order. Please try again"
"Order already exist.","Order already exist."
"Unable to complete order. Please try again","Unable to complete order. Please try again"
"Coupon code ""%1"" was applied.","Coupon code ""%1"" was applied."
"Coupon code ""%1"" is not valid.","Coupon code ""%1"" is not valid."
"Coupon code was canceled.","Coupon code was canceled."
"Cannot apply the coupon code.","Cannot apply the coupon code."
"Klarna Checkout","Klarna Checkout"
"Unable to select shipping method. Please try again.","Unable to select shipping method. Please try again."
"Please set the store address in the Magento Admin at Stores->Configuration->General->General->Store Information","Please set the store address in the Magento Admin at Stores->Configuration->General->General->Store Information"
"%1 class doesn't implement \Klarna\Kco\Api\ApiInterface","%1 class doesn't implement \Klarna\Kco\Api\ApiInterface"
"Unable to initialize Klarna checkout order","Unable to initialize Klarna checkout order"
"Discount (%1)","Discount (%1)"
Discount,Discount
"Sales Tax","Sales Tax"
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account."
"Invalid method type ""%1""","Invalid method type ""%1"""
"Invalid checkout type.","Invalid checkout type."
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Sorry, guest checkout is not enabled. Please try again or contact store owner."
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%1"">click here</a>.","Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%1"">click here</a>."
"Invalid billing details","Invalid billing details"
"Customer Address is not valid.","Customer Address is not valid."
"Please enter a valid email address.","Please enter a valid email address."
"Sorry, but administrator denied subscription for guests. Please <a href=""%1"">register</a>.","Sorry, but administrator denied subscription for guests. Please <a href=""%1"">register</a>."
"This email address is already assigned to another user.","This email address is already assigned to another user."
"Confirmation request has been sent.","Confirmation request has been sent."
"Thank you for your subscription.","Thank you for your subscription."
"There was a problem with the subscription: %1","There was a problem with the subscription: %1"
"There was a problem with the subscription.","There was a problem with the subscription."
Title,Title
Enabled,Enabled
"API Version","API Version"
"Merchant ID","Merchant ID"
"Shared secret","Shared secret"
"Test Mode","Test Mode"
"Debug Mode","Debug Mode"
"Should not be enabled in production. Sensitive information is logged.","Should not be enabled in production. Sensitive information is logged."
"New order status","New order status"
"Payment from applicable countries","Payment from applicable countries"
"If set to specific, guest customers will not have a billing country and may not be able to checkout.","If set to specific, guest customers will not have a billing country and may not be able to checkout."
"Payment from Specific countries","Payment from Specific countries"
"Shipping Countries","Shipping Countries"
"Supported shipping countries for Klarna.","Supported shipping countries for Klarna."
"Disable Klarna for specific customer groups","Disable Klarna for specific customer groups"
"Selected groups will see standard checkout instead of Klarna checkout.","Selected groups will see standard checkout instead of Klarna checkout."
"External Payment Methods","External Payment Methods"
"Displayed when Klarna’s standard offering is not approved for the customer.","Displayed when Klarna’s standard offering is not approved for the customer."
"Klarna Checkout Options","Klarna Checkout Options"
"Enable Klarna Checkout","Enable Klarna Checkout"
"Enable Klarna checkout for customers","Enable Klarna checkout for customers"
"Merchant Checkbox","Merchant Checkbox"
"Enable a checkbox within the checkout to trigger user behavior. May not available in all markets.","Enable a checkbox within the checkout to trigger user behavior. May not available in all markets."
"Merchant Checkbox Text","Merchant Checkbox Text"
"Leave blank to use default text with selected method.","Leave blank to use default text with selected method."
"Merchant Checkbox Required","Merchant Checkbox Required"
"If the checkbox must be checked before the customer can place the order.","If the checkbox must be checked before the customer can place the order."
"Merchant Checkbox Checked","Merchant Checkbox Checked"
"If the checkbox will be checked by default.","If the checkbox will be checked by default."
"Allow Guest Checkout","Allow Guest Checkout"
"URL to terms and conditions","URL to terms and conditions"
"Separate shipping addresses","Separate shipping addresses"
"Allow shipping address to be different from billing address.","Allow shipping address to be different from billing address."
"Auto focus Klarna Checkout","Auto focus Klarna Checkout"
"Pre-fill Customer Details","Pre-fill Customer Details"
"Pre-fill Klarna Checkout with stored customer data.","Pre-fill Klarna Checkout with stored customer data."
"Title mandatory","Title mandatory"
"Only available in certain markets.","Only available in certain markets."
"Date of birth mandatory","Date of birth mandatory"
"Klarna Checkout Design","Klarna Checkout Design"
"Checkout button color","Checkout button color"
"Checkout button text color","Checkout button text color"
"Checkout checkbox color","Checkout checkbox color"
"Checkout checkbox check mark color","Checkout checkbox check mark color"
"Checkout header color","Checkout header color"
"Checkout link color","Checkout link color"
"PayPal Express","PayPal Express"
"Checkout using PayPal.","Checkout using PayPal."
"v3.1 North America","v3.1 North America"
"v3 UK","v3 UK"
"Newsletter Signup","Newsletter Signup"
"Signup to our newsletter","Signup to our newsletter"
"Create Account","Create Account"
"Create account for faster checkout next time","Create account for faster checkout next time"
"Klarna Checkout Success","Klarna Checkout Success"
