"Unable to initialize Klarna checkout order","Unable to initialize Klarna checkout order"
"Capture invoice must be an instance %1","Capture invoice must be an instance %1"
"Cannot capture partial shipping amount for order.","Cannot capture partial shipping amount for order."
"Cannot capture partial discount amount for invoice.","Cannot capture partial discount amount for invoice."
"Refund credit memo must be an instance Creditmemo","Refund credit memo must be an instance Creditmemo"
"Cannot refund partial discount amount for order.","Cannot refund partial discount amount for order."
"Refund Adjustment Positive","Refund Adjustment Positive"
"Refund Adjustment Negative","Refund Adjustment Negative"
"Refund Shipping","Refund Shipping"
"Pushqueue with id ""%1"" does not exist.","Pushqueue with id ""%1"" does not exist."
"Order processed by Klarna.","Order processed by Klarna."
"v2 Nordics & DACH","v2 Nordics & DACH"
